"","ISO","EVENT_ID_CNTY","EVENT_ID_NO_CNTY","EVENT_DATE","YEAR","TIME_PRECISION","EVENT_TYPE","ACTOR1","ASSOC_ACTOR_1","INTER1","ACTOR2","ASSOC_ACTOR_2","INTER2","INTERACTION","REGION","COUNTRY","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","GEO_PRECISION","SOURCE","SOURCE_SCALE","NOTES","FATALITIES","TIMESTAMP","CONTINENT"
"94",356,"IND36356",36356,"10-September-2018",2018,1,"Riots/Protests","Protesters (India)","INC: Indian National Congress",6,"Police Forces of India (2014-)",NA,1,16,"Southern Asia","India","Assam","Golaghat",NA,"Hautoley Grant",26.569,93.898,2,"The Sentinel (India)","National","On September 10, Congress leaders and supporters staged a protest and blocked the road at Hautaley area, Golaghat district, Assam, in support of a Bharat Bandh called by the Congress and opposition parties against the hike in fuel prices. Around 40 people were detained by the police.",0,1542756336,"Asia"
"95",887,"YEM11534",11534,"15-May-2018",2018,1,"Remote violence","Operation Restoring Hope",NA,8,"Civilians (Yemen)",NA,7,78,"Middle East","Yemen","Sadah",NA,NA,"Kitaf",17.032,44.109,2,"Yemen News Agency","National","Three civilians were killed and two others injured when three Saudi-led coalition airstrikes hit vehicles in Kitaf district, Sadah.",3,1541483462,"Middle East"
"96",706,"SOM24653",24653,"03-January-2018",2018,1,"Battle-no change 
of territory","Military Forces of Somalia (2017-)",NA,1,"Al Shabaab",NA,2,12,"Eastern Africa","Somalia","Banadir","Banadir",NA,"Yaaqshiid",2.068,45.35,1,"Local Source Project","Other-local","Suspected al Shabaab fighters launched a hit and run attack against NISA troops based at Aimiska neighbourhood in Yaqshid district. The clash was initiated with RPG rounds followed by a heavy exchange of gunfire which lasted for about 25 minutes. Three civilian bystanders were injured in the clash. Casualties from both groups could not be ascertained at the time of reporting.",0,1546559461,"Africa"
"97",434,"LBY6699",6699,"11-February-2018",2018,1,"Remote violence","Unidentified Armed Group (Libya)",NA,3,"Civilians (Libya)",NA,7,37,"Northern Africa","Libya","East","Tobruk",NA,"Musaid",31.609,25.05,2,"Alwasat","National","A civilian was wounded by the explosion of a landmine near the border town of Musaid, the landmine is believed to a war remnant from the second world war.",0,1546655693,"Africa"
"98",706,"SOM25651",25651,"20-March-2018",2018,1,"Remote violence","AMISOM: African Union Mission in Somalia (2007-) (Kenya)","Military Forces of Somalia (2017-)",8,"Al Shabaab",NA,2,28,"Eastern Africa","Somalia","Lower Juba","Kismaayo",NA,"Yoontoy Yarey",-0.13,42.574,1,"Local Source Project","Other","20 March. SNA/AMISOM patrol hit by IED in Yoontoy Yarey. Casualties not known.",0,1546559462,"Africa"
"99",760,"SYR31176",31176,"08-April-2018",2018,1,"Remote violence","Military Forces of Syria (2000-)",NA,1,"Civilians (Syria)",NA,7,17,"Middle East","Syria","Hama",NA,NA,"Al-Latamna",35.321,36.62,1,"SOHR; SHAM: SOHR_http://www.syriahr.com/en/?p=88862; SHAM_http://www.shaam.org/reports/battleground-reports/%D8%AD%D8%B5%D8%A7%D8%AF-%D8%A7%D9%84%D8%A3%D8%AD%D8%AF%D8%A7%D8%AB-%D8%A7%D9%84%D9%85%D9%8A%D8%AF%D8%A7%D9%86%D9%8A%D8%A9-%D9%84%D9%8A%D9%88%D9%85-%D8%A7%D9%84%D8%A3%D8%AD%D8%AF-09-04-2018.html","Other-Local","Regime forces shelled the towns of al-Latamna, Arbain, Zakat, al-Janabrah, Hawash, Huweiz, Amqiyah, Doqmaq, Zayzun, and Qastoun which led to fatalities. Total fatalities coded to 10 and spread evenly across the ten events.",1,1543860566,"Middle East"
"100",760,"SYR30957",30957,"04-April-2018",2018,1,"Remote violence","Military Forces of Syria (2000-)",NA,1,NA,NA,0,10,"Middle East","Syria","Hama",NA,NA,"Aydun",34.957,36.976,1,"SOHR; SHAM: SOHR_http://www.syriahr.com/en/?p=88537; SHAM_http://www.shaam.org/reports/battleground-reports/%D8%AD%D8%B5%D8%A7%D8%AF-%D8%A7%D9%84%D8%A3%D8%AD%D8%AF%D8%A7%D8%AB-%D8%A7%D9%84%D9%85%D9%8A%D8%AF%D8%A7%D9%86%D9%8A%D8%A9-%D9%84%D9%8A%D9%88%D9%85-%D8%A7%D9%84%D8%A7%D8%B1%D8%A8%D8%B9%D8%A7%D8%A1-04-04-2018.html","Other-Local","The Syrian army shelled Aydun village in Hama countryside. Neither injuries nor fatalities were reported.",0,1543860566,"Middle East"
"101",760,"SYR29540",29540,"11-March-2018",2018,1,"Remote violence","Unidentified Armed Group (Syria)",NA,3,NA,NA,0,30,"Middle East","Syria","Damascus",NA,NA,"Damascus - Old City",33.51,36.31,1,"SOHR: SOHR_http://www.syriahr.com/en/?p=86554","Other-Local","Shells landed on the Bab Touma area in the Old City of Damascus. No fatalities reported.",0,1543860566,"Middle East"
"102",887,"YEM26852",26852,"28-December-2018",2018,1,"Battle-no change 
of territory","Military Forces of Yemen (2012-)","Militia (Pro-Government)",1,"Military Forces of Yemen (2016-) Supreme Political Council",NA,1,11,"Middle East","Yemen","Taizz",NA,NA,"Taizz-Rudajah",13.578,44.04,1,"Khabar agency","National","A number of Houthi fighters were killed and wounded on December 28, after an attempt to infiltrate anti-Houthi forces' positions in the Tashrifat military camp, Taiz. Unknown fatalities coded as 10.",10,1546900295,"Middle East"
"103",231,"ETH4884",4884,"14-October-2018",2018,1,"Strategic development","Police Forces of Ethiopia (1991-) Tigray State Police",NA,1,"Civilians (Ethiopia)","Welkait Communal Group (Ethiopia)",7,17,"Eastern Africa","Ethiopia","Tigray","Western Tigray",NA,"Dansha Bota",13.517,37.183,1,"Twitter source","National","14 October. Tigray special force (Liyu Hail) deployed in Dansha to oppress local voices planning to seek respect for their Amhara identity.",0,1546559521,"Africa"
"104",760,"SYR42110",42110,"17-July-2018",2018,1,"Battle-Government 
regains territory","Military Forces of Syria (2000-)",NA,1,"Opposition Rebels (Syria)","Islamist Militia (Syria)",2,12,"Middle East","Syria","Dar'a",NA,NA,"Ghabagheb",33.183,36.227,2,"SOHR: SOHR_http://www.syriahr.com/en/?p=98131; SOHR_http://www.syriahr.com/en/?p=98092","Other-Local","Regime forces regained control of the area of Muthallath al-Mawt, or the ""Triangle of Death"" area, which is located in the Ghabagheb area in northwest Dar'a province following clashes, likely with rebel and/or Islamist factions. No fatalities reported.",0,1543551990,"Middle East"
"105",4,"AFG12841",12841,"28-July-2018",2018,2,"Remote violence","Unidentified Armed Group (Afghanistan)",NA,3,"Civilians (Afghanistan)",NA,7,37,"Southern Asia","Afghanistan","Helmand","Musa Qala",NA,"Musa Qala",32.446,64.745,2,"BBC Monitoring; Radio Bost","National-International","An unclaimed mine explosion in Musa Qala District, Helmand Province, killed 2 children, as reported on July 28.",2,1545323758,"Asia"
"106",760,"SYR45020",45020,"07-August-2018",2018,1,"Remote violence","Military Forces of Syria (2000-)",NA,1,NA,NA,0,10,"Middle East","Syria","Aleppo",NA,NA,"Al-Mallah",36.286,37.117,1,"SOHR: SOHR_http://www.syriahr.com/en/?p=99772","Other-Local","Regime forces shelled Al-Mallah in Aleppo. Neither injuries nor fatalities were reported.",0,1543860563,"Middle East"
"107",4,"AFG14128",14128,"24-September-2018",2018,1,"Remote violence","Military Forces of Afghanistan (2004-)",NA,1,"Taliban and/or Islamic State (Afghanistan)",NA,2,12,"Southern Asia","Afghanistan","Faryab","Qaysar",NA,"Qaysar",35.688,64.293,2,"Afghan Ministry of Defense in Farsi","National","As reported on Sep 25, over the previous 24 hours, Afghan military forces conducted air strikes against suspected Taliban and/or IS militants in Qaysar district, Faryab province. 7 militants were killed and 4 were injured.",7,1542398981,"Asia"
"108",356,"IND42155",42155,"22-December-2018",2018,1,"Riots/Protests","Protesters (India)","Teachers (India)",6,NA,NA,0,60,"Southern Asia","India","Jharkhand","Dumka",NA,"Dumka",24.287,87.243,1,"Hindustan Times (India)","National","On December 22, retired teachers of Sido Kanhu Murmu University (SKMU) staged a protest in front of the campus in Dumka city (Dumka, Jharkhand), over years of delay in fixing the pension and payment of gratuity by the state government.",0,1546890617,"Asia"
"109",586,"PAK44199",44199,"13-September-2018",2018,1,"Riots/Protests","Protesters (Pakistan)",NA,6,NA,NA,0,60,"Southern Asia","Pakistan","Punjab","Faisalabad",NA,"Jaranwala",31.333,73.418,1,"Dawn (Pakistan)","National","On Sep 13, villagers staged a protest outside of the tehsil headquarters hospital in Jaranwala town (Faisalabad, Punjab) against doctors' negligence that led to the death of a man.",0,1542756388,"Asia"
"110",586,"PAK38787",38787,"04-January-2018",2018,1,"Riots/Protests","Protesters (Pakistan)","Teachers (Pakistan)",6,"Police Forces of Pakistan (2013-2018)",NA,1,16,"Southern Asia","Pakistan","Sindh","Karachi",NA,"Karachi-Clifton Cantonment",24.81,67.056,1,"Balochistan Times","Subnational","On January 4th, police used a baton charge and tear gas to disperse a large group of protesting teachers as they attempted to march towards Bilawal House in Clifton, Karachi.",0,1542756383,"Asia"
"111",706,"SOM26979",26979,"26-October-2018",2018,1,"Battle-no change 
of territory","Military Forces of Somalia (2017-)",NA,1,"Military Forces of Somalia (2017-)",NA,1,11,"Eastern Africa","Somalia","Banadir","Banadir",NA,"Hodan",2.033,45.35,1,"Local Soure Project","Other","26 October. Two groups of SNA soldiers clashed at Zone K neighbourhood in Hodan district. There was an exchange of gunfire due a dispute between two SNA groups.One soldier was killed.",1,1546559443,"Africa"
"112",760,"SYR30787",30787,"01-April-2018",2018,1,"Remote violence","Military Forces of Syria (2000-)",NA,1,NA,NA,0,10,"Middle East","Syria","Dar'a",NA,NA,"Dar'a",32.624,36.105,1,"SOHR: SOHR_http://www.syriahr.com/en/?p=88380; SOHR_http://www.syriahr.com/en/?p=88347","Other-Local","Regime forces shelled areas of Dar'a al-Balad in Dar'a city with mortars, causing material damage. No fatalities reported.",0,1543860566,"Middle East"
"113",586,"PAK45767",45767,"13-November-2018",2018,1,"Battle-no change 
of territory","Military Forces of Pakistan (2018-)",NA,1,"Unidentified Armed Group (Afghanistan)",NA,3,13,"Southern Asia","Pakistan","Khyber Pakhtunkhwa","Bajaur",NA,"Ghakhai",34.817,71.318,2,"Tribal News Network; Dawn (Pakistan)","Subnational-National","On Nov 13, Pak security forces killed a senior militant commander during an armed attack from across the Afghan border in the Ghakhai area (Mamund, Bajaur, KP).",1,1542726257,"Asia"
"114",760,"SYR31332",31332,"11-April-2018",2018,1,"Strategic development","Military Forces of Syria (2000-)","Military Forces of Syria (2000-) Syrian Arab Air Force; Militia (Pro-Government)",1,NA,NA,0,10,"Middle East","Syria","Damascus",NA,NA,"Damascus",33.517,36.277,3,"SOHR: SOHR_http://www.syriahr.com/en/?p=89063","Other-Local","Movement of forces: Regime forces evacuated from all main airports and military bases in their controlled areas across the country, including in Rural Damascus, in anticipation of US and/or French and British strikes on Syrian bases. Allied pro-regime forces also repositioned forces across the country in anticipation of a strike.",0,1543551986,"Middle East"
"115",356,"IND32771",32771,"02-July-2018",2018,1,"Riots/Protests","Protesters (India)","Students (India)",6,NA,NA,0,60,"Southern Asia","India","Manipur","Imphal West",NA,"Imphal",24.791,93.93,1,"Imphal Free Press (India)","Subnational","Manipur University Students Union staged a protest in Imphal city, Manipur, on 2 July, demanding the removal of the university's vice-chancellor.",0,1542756334,"Asia"
"116",356,"IND39836",39836,"09-November-2018",2018,1,"Riots/Protests","Protesters (India)","INC: Indian National Congress",6,NA,NA,0,60,"Southern Asia","India","Haryana","Fatehabad",NA,"Fatehabad",29.515,75.456,1,"Times of India","National","On 9 November, Congress staged a protest at the mini-Secretariat in Fatehbabad (Fatehabad, Haryana) against the BJP government and its demonetization policy on the second year anniversary. The state Congress president called it 'the biggest scam since independence'.",0,1542726252,"Asia"
"117",887,"YEM11057",11057,"25-April-2018",2018,1,"Remote violence","Operation Restoring Hope","Military Forces of Saudi Arabia (2015-)",8,NA,NA,0,80,"Middle East","Yemen","Sadah",NA,NA,"Al Mashaf",16.858,43.198,2,"Yemen Press Agency","National","Saudi artillery shelling was reported in Shadaa district bordering Saudi Arabia in northwestern Yemen. No casualties were reported but farms and houses were allegedly damaged.",0,1542152265,"Middle East"
"118",760,"SYR33384",33384,"27-May-2018",2018,1,"Battle-no change 
of territory","Unidentified Clan Militia (Syria)",NA,4,"Unidentified Clan Militia (Syria)",NA,4,44,"Middle East","Syria","Aleppo",NA,NA,"Azaz",36.585,37.043,2,"SOHR: SOHR_http://www.syriahr.com/en/?p=93506","Other-Local","Violent clashes broke out between two armed clans in the Shamarikh camp near Azaz city which resulted in casualties on both sides. Given the violent nature of the fighting fatalities are assumed. Unknown number of fatalities coded to 10.",10,1546889240,"Middle East"
"119",275,"PSE4328",4328,"17-December-2018",2018,1,"Riots/Protests","Military Forces of Israel (2009-)",NA,8,"Rioters (Palestine)",NA,5,58,"Middle East","Palestine","West Bank",NA,NA,"Shuwaykah",32.336,35.036,1,"Agence France Presse; Anadolu Agency (AA)","Regional-International","On Dec 17, Israeli forces destroyed the home of a Palestinian accused of killing two Israelis, in an army raid that triggered clashes overnight. Three people were injured by rubber bullets as hundreds of soldiers surrounded the house in Shuwaykah, a suburb of Tulkarm in the north of the West Bank, during the punitive home demolition.",0,1546900294,"Middle East"
"120",887,"YEM8662",8662,"09-February-2018",2018,1,"Battle-no change 
of territory","Military Forces of Yemen (2016-) Supreme Political Council",NA,1,"Military Forces of Yemen (2012-)","Militia (Pro-Government)",1,11,"Middle East","Yemen","Taizz",NA,NA,"Taizz",13.58,44.021,1,"Yemen News Agency (SABA)","National","Pro-Hadi commander Faisal Hassan al-Makhlafi, deputy commander of the so-called Northern Front in Taiz, was killed during clashes with Houthi fighters. No exact location was given in the event.",1,1524053823,"Middle East"
"121",4,"AFG13678",13678,"02-September-2018",2018,1,"Battle-no change 
of territory","Taliban",NA,2,"Police Forces of Afghanistan (2004-)",NA,1,12,"Southern Asia","Afghanistan","Kandahar","Khakrez",NA,"Khakrez",31.985,65.473,2,"Xinhua General News Service","International","On 02-September-2018, 6 Taliban militants were killed and 4 wounded in clashes with Afghan Security Forces in the Mandozai area of Khakrez district of Kandahar province.",6,1536618856,"Asia"
"122",760,"SYR22266",22266,"23-February-2018",2018,1,"Remote violence","Unidentified Armed Group (Syria)",NA,3,NA,NA,0,30,"Middle East","Syria","Damascus",NA,NA,"Damascus - Sarouja",33.522,36.309,1,"SOHR: SOHR_http://www.syriahr.com/en/?p=85479; SOHR_http://www.syriahr.com/en/?p=85494","Other-Local","A shell fell in the vicinity of the Abasyyin, Baghdad street, and Qassur areas - all in Sarouja- in Damascus with no injuries or fatalities reported.",0,1543860567,"Middle East"
"123",887,"YEM9052",9052,"25-February-2018",2018,1,"Battle-no change 
of territory","Military Forces of Yemen (2012-)","Militia (Pro-Government)",1,"Military Forces of Yemen (2016-) Supreme Political Council",NA,1,11,"Middle East","Yemen","Al Hudaydah",NA,NA,"Al Qataba",13.878,43.236,1,"Emirates News Agency (WAM)","Regional","Pro-Hadi forces claim to have defeated an attempted offensive by pro-Houthi fighters into Qataba, in between Khakha and Tuhayta. No info on injuries or fatalities.",0,1524053819,"Middle East"
"124",760,"SYR30243",30243,"21-March-2018",2018,1,"Remote violence","Military Forces of Syria (2000-)",NA,1,"Opposition Rebels (Syria)",NA,2,12,"Middle East","Syria","Dar'a",NA,NA,"Dar'a",32.624,36.105,3,"SOHR: SOHR_http://www.syriahr.com/en/?p=87395","Other-Local","Regime forces targeted a rebel faction car with a tank shell in the countryside of Dar'a, injuring 1 rebel fighter. No fatalities reported.",0,1543860566,"Middle East"
"125",275,"PSE1586",1586,"24-February-2018",2018,1,"Riots/Protests","Military Forces of Israel (2009-)",NA,8,"Rioters (Palestine)",NA,5,58,"Middle East","Palestine","West Bank",NA,NA,"Mukhayyam ad Duhayshah",31.694,35.184,1,"Palestine News & Information Agency (WAFA)","National","A Palestinian youth was Saturday injured during clashes that broke out with Israeli forces in Dheisheh refugee camp south of Bethlehem. Clashes erupted when Israeli forces raided the camp and the area of nearby Solomon's Pools.",0,1524053819,"Middle East"
"126",356,"IND28392",28392,"25-March-2018",2018,1,"Riots/Protests","Protesters (India)","TMC: Trinamool Congress Party",6,NA,NA,0,60,"Southern Asia","India","West Bengal","Howrah",NA,"Howrah",22.597,88.263,1,"The Times of India (TOI)","National","TMC staged a Ram Navami procession in Howrah city, West Bengal, on 25 March.",0,1542756330,"Asia"
"127",356,"IND34944",34944,"20-August-2018",2018,1,"Riots/Protests","Protesters (India)","SAD: Shiromani Akali Dal",6,NA,NA,0,60,"Southern Asia","India","Punjab","Bathinda",NA,"Bathinda",30.211,74.945,1,"The Tribune","Subnational","On 20 August, SAD affiliates including the Mayor, staged a protest dharna outside the Municipal Corporation in Bathinda city (Bathinda, Punjab) against the Finance Minister over allocation of development funds to the Bathinda Improvement Trust rather than the Municipal Council of Bathinda.",0,1542756335,"Asia"
"128",706,"SOM25306",25306,"15-March-2018",2018,1,"Remote violence","AMISOM: African Union Mission in Somalia (2007-) (Uganda)",NA,8,"Al Shabaab",NA,2,28,"Eastern Africa","Somalia","Lower Shabelle","Marka",NA,"Ceel Waregow",1.809,44.799,1,"Local Source Project","Other","15 March. An IED strike followed by an Ambush on an AMISOM convoy has resulted in one vehicle being immobilised and several Ugandan AMISOM soldiers wounded.",0,1546559426,"Africa"
"129",356,"IND31566",31566,"28-May-2018",2018,1,"Riots/Protests","Protesters (India)","Students (India); Teachers (India)",6,NA,NA,0,60,"Southern Asia","India","Jammu and Kashmir","Jammu",NA,"Jammu",32.736,74.869,1,"Early Times (India)","Subnational","Students and professors under the banner of the J&K Students Congress staged a protest and hunger strike in front of Parliament in Jammu City beginning on May 28 to demand fundamental rights.",0,1542756333,"Asia"
"130",364,"IRN561",561,"26-February-2018",2018,1,"Riots/Protests","Protesters (Iran)","Labour Group (Iran)",6,NA,NA,0,60,"Middle East","Iran","Khuzestan",NA,NA,"Ahvaz",31.319,48.684,1,"Radio Zamaneh","National","Workers of Ahvaz Steel Company gathered in protest outside the provincial government.",0,1542756344,"Middle East"
"131",356,"IND29344",29344,"10-April-2018",2018,1,"Riots/Protests","Rioters (India)","Dalit Caste Group (India)",5,"Police Forces of India (2014-)",NA,1,15,"Southern Asia","India","Bihar","Patna",NA,"Patna",25.597,85.138,3,"UNI (United News of India)","National","On April 10, Dalit orgaisations clashed with the police during 'Bharat Bandh' demonstration against the dilution of the SC/ST (Prevention of Atrocities) Act at the Mufassil police station area, Bihar state.",0,1546889914,"Asia"
"132",887,"YEM11184",11184,"03-May-2018",2018,1,"Battle-Government 
regains territory","Military Forces of Yemen (2012-)","Militia (Pro-Government)",1,"Military Forces of Yemen (2016-) Supreme Political Council",NA,1,11,"Middle East","Yemen","Hajjah",NA,NA,"Al Kidf",16.29,43.139,1,"AlArabiya.net (Arabic)","Regional","Pro-Hadi forces and allied militias have taken control of Taba al Asfura, Taba al-Qamama, Taba Mariyam, Kadaf site, and Al Katban all located in the south-east of Midi district after violent clashes with Houthi forces. No info on fatalities.",0,1542756426,"Middle East"
"133",524,"NEP1900",1900,"13-June-2018",2018,1,"Riots/Protests","Rioters (Nepal)",NA,5,NA,NA,0,50,"Southern Asia","Nepal","Central","Bagmati",NA,"Kathmandu",27.702,85.321,1,"Ekantipur.com","National","Rioters set fire to a vehicle in Kathmandu city, Bagmati, Central, on 13 June, following an accident.",0,1546889912,"Asia"
"134",368,"IRQ6150",6150,"03-April-2018",2018,1,"Remote violence","Unidentified Armed Group (Iraq)",NA,3,"Civilians (Iraq)",NA,7,37,"Middle East","Iraq","Baghdad",NA,NA,"Baghdad - Al Rashid",33.236,44.343,1,"Al Ghad Press","Subnational","On Apr 03, one civilian was injured by the explosion of an unidentified IED planted on a motorcycle while passing in al-Radwaniyah (Al Rashid district), southwest Baghdad.",0,1524053813,"Middle East"
"135",887,"YEM11509",11509,"15-May-2018",2018,1,"Battle-no change 
of territory","Military Forces of Yemen (2016-) Supreme Political Council",NA,1,"Military Forces of Yemen (2012-)",NA,1,11,"Middle East","Yemen","Al Jawf",NA,NA,"Al Matun",16.231,44.585,2,"Yemen News Agency","National","Pro-Houthi forces claim to have killed ""several"" anti-Houthi fighters during an attack on their positions' in Maton district, Jawf. Unknown fatalities coded as 10.",10,1526932373,"Middle East"
"136",356,"IND41164",41164,"05-December-2018",2018,1,"Riots/Protests","Rioters (India)","TRS: Telangana Rashtra Samithi",5,"Rioters (India)","TDP: Telugu Desam Party; INC: Indian National Congress",5,55,"Southern Asia","India","Andhra Pradesh","Kurnool",NA,"Atmakur",15.881,78.587,1,"Deccan Chronicle","National","On December 5, in Atmakur town in Atmakur tehsil (Kurnool, AP), TRS supporters clashed with Telugu Desam and Congress workers after stating that supporters of Mahakutami were distributing money to the voters.",0,1544551404,"Asia"
"137",4,"AFG14336",14336,"06-October-2018",2018,1,"Battle-no change 
of territory","Military Forces of Afghanistan (2004-)","Police Forces of Afghanistan (2004-)",1,"Taliban",NA,2,12,"Southern Asia","Afghanistan","Farah","Bala Buluk",NA,"Bala Buluk",32.636,62.465,2,"Bakhtar News Agency","National","On 06-October-2018, 30 Taliban militants were killed in operations conducted by Afghan Military and Police Forces in the Khak-Safid, Bala Baluk, and Pushtrod districts of farah province. Fatalities are distributed across 3 events.",10,1539654723,"Asia"
"138",760,"SYR44863",44863,"03-August-2018",2018,1,"Battle-no change 
of territory","Militia (Pro-Government)",NA,3,"Islamic State (Syria)",NA,2,23,"Middle East","Syria","As-Sweida",NA,NA,"As-Sweida",32.707,36.568,3,"LiveUMap: LiveUMap_https://syria.liveuamap.com/en/2018/3-august-proassad-forces-destroyed-daesh-convoy-in-suwayda; LiveUMap_https://twitter.com/SyriaWar2/status/1025403238084997120","Other-Local","Pro-regime militia fighters destroyed, likley with an ATGM, an Islamic State convoy in the Sweida desert. Casulaties likely but unkown if fatalities occurred.",0,1546889241,"Middle East"
"139",524,"NEP4544",4544,"13-October-2018",2018,1,"Riots/Protests","Protesters (Nepal)",NA,6,NA,NA,0,60,"Southern Asia","Nepal","Central","Bagmati",NA,"Kathmandu",27.702,85.321,1,"Himalayan Times","National","On 13 Oct, in Kathmandu city (Kathmandu, Bagmati), dozens of activists gathered at the Prime Minister's house to demand justice for the rape and murder of Nirmala Panta.",0,1539703907,"Asia"
"140",760,"SYR33614",33614,"02-June-2018",2018,1,"Remote violence","Islamic State (Syria)",NA,2,"Civilians (Syria)",NA,7,27,"Middle East","Syria","Ar-Raqqa",NA,NA,"Tell Abiad",36.698,38.955,2,"SOHR: SOHR_http://www.syriahr.com/en/?p=94233; SOHR_http://www.syriahr.com/en/?p=94167","Other-Local","Two people were killed following the explosion of a landmine in Kantari in the northern countryside of Ar-Raqqa, in the Tall Abiad area, likely previously planted by IS.",2,1545323758,"Middle East"
"141",4,"AFG11516",11516,"14-July-2018",2018,1,"Battle-no change 
of territory","Military Forces of Afghanistan (2004-)",NA,1,"Taliban and/or Islamic State (Afghanistan)",NA,2,12,"Southern Asia","Afghanistan","Urozgan","Tarinkot",NA,"Tarinkot",32.627,65.873,2,"Afghan Ministry of Defense","National","Afghan military forces carried out operations against suspected Taliban and/or IS militants in Deh Rahwod, Shahidi Hassas, and Tarinkot Districts of Urozgan Province over 24 hours, as reported on July 15. 8 militants were killed (coded across 3 events), 6 were wounded, and 5 were arrested.",2,1532455204,"Asia"
"142",760,"SYR49573",49573,"27-November-2018",2018,1,"Remote violence","Military Forces of Syria (2000-)",NA,1,NA,NA,0,10,"Middle East","Syria","Idleb",NA,NA,"Zarzur",35.954,36.34,1,"LiveUMap: LiveUMap_https://syria.liveuamap.com/en/2018/27-november-saa-artillery-shelling-targeting-the-villages; LiveUMap_https://twitter.com/HamahNow/status/1067455655957733377","Other-Local","Regime forces shelled the village of Zarzur with no injuries or fatalities reported.",0,1543875491,"Middle East"
"143",376,"ISR800",800,"15-September-2018",2018,1,"Riots/Protests","Rioters (Israel)","Arab Ethnic Group (Israel)",5,"Civilians (Israel)",NA,7,57,"Middle East","Israel","Haifa",NA,NA,"Umm el Fahm",32.517,35.154,1,"The Times of Israel","National","On Sept 15, a musical performance by a mixed gender band in Umm al Fahm was interrupted by people throwing molotovs, after the show had drawn opposition from conservative religious leaders in the city. There were no reported injuries or damage.",0,1538773321,"Middle East"
"144",887,"YEM26318",26318,"13-December-2018",2018,1,"Remote violence","Military Forces of Yemen (2012-)",NA,1,"Military Forces of Yemen (2016-) Supreme Political Council",NA,1,11,"Middle East","Yemen","Ad Dali",NA,NA,"Al Haqab",14.048,44.682,2,"Aden Al-Ghad","Subnational","7 Houthi soldiers were killed by anti-Houthi soldiers' shelling in the Kharam area of Al-Haqab village, located south of Damt. Three other soldiers were arrested on the same day.",7,1545090558,"Middle East"
"145",356,"IND26536",26536,"29-January-2018",2018,1,"Riots/Protests","Protesters (India)",NA,6,NA,NA,0,60,"Southern Asia","India","Maharashtra","Thane",NA,"Thane",19.197,72.964,1,"Hindustan Times","National","On January 29, in Thane, party workers of the Narayan Rane-led Maharashtra Swabhimani Paksh (MSP) protested installment of a hooka parlor by bursting crackers outside a hospital adjacent to a hookah parlour at Gandhi Nagar.",0,1542756329,"Asia"
"146",887,"YEM8853",8853,"16-February-2018",2018,1,"Remote violence","Operation Restoring Hope",NA,8,NA,NA,0,80,"Middle East","Yemen","Sadah",NA,NA,"As Sawh",17.348,44.128,1,"Yemen News Agency","National","Three Saudi-led coalition airstrikes were reported in Sawh and Farea areas of Kutaf district. No further info.",0,1541483463,"Middle East"
"147",854,"BFO1276",1276,"29-November-2018",2018,1,"Riots/Protests","Protesters (Burkina Faso)","CCVC: National Coalition against High Cost of Living, Corruption, Fraud and Impunity and for Liberty",6,NA,NA,0,60,"Western Africa","Burkina Faso","Sud-Ouest","Poni",NA,"Gaoua",10.33,-3.18,1,"Bafuji Infos (Burkina Faso)","Subnational","On November 29, residents in Gaoua marched in protest against increased fuel prices and expensive living costs amid the call for general strike by the National Coalition against High Cost of Living (CCVC).",0,1546710083,"Africa"
"148",356,"IND39916",39916,"11-November-2018",2018,1,"Riots/Protests","Protesters (India)","JKNPP: Jammu and Kashmir National Panthers Party; Labour Group (India)",6,NA,NA,0,60,"Southern Asia","India","Jammu and Kashmir","Jammu",NA,"Jammu",32.736,74.869,1,"Northlines (India)","Subnational","On 11 Nov, the Panthers Trade Union staged a protest at the Exhibition Ground in Jammu city (J&K), demanding wage increases and regularisation for SPOs, cooks, sweepers, chokidar, CPWs, PHE and PWD state employee groups.",0,1542726252,"Asia"
"149",710,"SAF9944",9944,"20-June-2018",2018,1,"Riots/Protests","Protesters (South Africa)","Right2Know; Sonke Gender Justice; ADF: African Diaspora Forum",6,NA,NA,0,60,"Southern Africa","South Africa","Gauteng","West Rand",NA,"Krugersdorp",-26.086,27.775,1,"GroundUp","National","On 20 June, activists from multiple civil society organisations including Right2Know, Sonke Gender Justice, African Diaspora Forum continued to protest outside Lindela in Krugersdorp as part of World Refugee Day.",0,1546559472,"Africa"
"150",120,"CAO1573",1573,"24-August-2018",2018,1,"Battle-no change 
of territory","Ambazonian Separatists (Cameroon)",NA,2,"Military Forces of Cameroon (1982-) Gendarmerie",NA,1,12,"Middle Africa","Cameroon","Nord-Ouest","Menchum",NA,"Zoa",6.533,10.167,1,"Journal du Cameroun","National","On 24 August, at least two gendarmes were killed by suspected separatists in Zhoa, Wum, during clashes.",2,1546559419,"Africa"
"151",792,"TRK1502",1502,"14-March-2018",2018,1,"Battle-no change 
of territory","Military Forces of Turkey (2016-)",NA,1,"PKK: Kurdistan Workers Party",NA,2,12,"Middle East","Turkey","Agri",NA,NA,"Dogubeyazit",39.547,44.084,2,"ROJ News","Subnational","26 Turkish soldiers were killed during a clash with the PKK militants in the Dogubeyazit district of the Agri province on Wednesday, 14 March 2018.",26,1524053816,"Middle East"
